;Full Recipe
0;"<|startofrecipe|>ingredients:
brown sugar
milk
vanilla
nuts
butter
bite size shredded rice biscuits
directions:
in a heavy 2-quart saucepan, mix brown sugar, nuts, evaporated milk and butter or margarine.
stir over medium heat until mixture bubbles all over top.
boil and stir 5 minutes more. take off heat.
stir in vanilla and cereal; mix well.
using 2 teaspoons, drop and shape into 30 clusters on wax paper.
let stand until firm, about 30 minutes.<|endofrecipe|>"
1;"<|startofrecipe|>ingredients:
beef
chicken breasts
cream of mushroom soup
sour cream
directions:
place chipped beef on bottom of baking dish.
place chicken on top of beef.
mix soup and cream together; pour over chicken. bake, uncovered, at 275° for 3 hours.<|endofrecipe|>"
2;"<|startofrecipe|>ingredients:
frozen corn
cream cheese
butter
garlic powder
salt
pepper
directions:
in a slow cooker, combine all ingredients. cover and cook on low for 4 hours or until heated through and cheese is melted. stir well before serving. yields 6 servings.<|endofrecipe|>"
3;"<|startofrecipe|>ingredients:
chicken
chicken gravy
cream of mushroom soup
shredded cheese
directions:
boil and debone chicken.
put bite size pieces in average size square casserole dish.
pour gravy and cream of mushroom soup over chicken; level.
make stuffing according to instructions on box (do not make too moist).
put stuffing on top of chicken and gravy; level.
sprinkle shredded cheese on top and bake at 350° for approximately 20 minutes or until golden and bubbly.<|endofrecipe|>"
4;"<|startofrecipe|>ingredients:
peanut butter
graham cracker crumbs
butter
powdered sugar
chocolate chips
directions:
combine first four ingredients and press in 13 x 9-inch ungreased pan.
melt chocolate chips and spread over mixture. refrigerate for about 20 minutes and cut into pieces before chocolate gets hard.
keep in refrigerator.<|endofrecipe|>"
5;"<|startofrecipe|>ingredients:
baking potatoes
extra lean ground beef
butter
milk
salt
pepper
cheddar cheese
bacon
green onion
sour cream
directions:
wash potatoes; prick several times with a fork.
microwave them with a wet paper towel covering the potatoes on high for 6-8 minutes.
the potatoes should be soft, ready to eat.
let them cool enough to handle.
cut in half lengthwise; scoop out pulp and reserve.
discard shells.
brown ground beef until done.
drain any grease from the meat.
set aside when done.
meat will be added later.
melt butter in a large kettle over low heat; add flour, stirring until smooth.
cook 1 minute, stirring constantly. gradually add milk; cook over medium heat, stirring constantly, until thickened and bubbly.
stir in potato, ground beef, salt, pepper, 1 cup of cheese, 2 tablespoons of green onion and 1/2 cup of bacon.
cook until heated (do not boil).
stir in sour cream if desired; cook until heated (do not boil).
sprinkle with remaining cheese, bacon and green onions.<|endofrecipe|>"
6;"<|startofrecipe|>ingredients:
sugar
butter
egg
buttermilk
flour
salt
soda
buttermilk
rhubarb
vanilla
directions:
cream sugar and butter.
add egg and beat well.
to creamed butter, sugar and egg, add alternately buttermilk with mixture of flour, salt and soda.
mix well.
add rhubarb and vanilla.
pour into greased 9 x 13-inch pan and add topping.<|endofrecipe|>"
7;"<|startofrecipe|>ingredients:
cream-style corn
whole kernel corn
crackers
egg
butter
pepper
directions:
mix together both cans of corn, crackers, egg, 2 teaspoons of melted butter and pepper and place in a buttered baking dish.
dot with remaining 4 teaspoons of butter.
bake at 350° for 1 hour.<|endofrecipe|>"
8;"<|startofrecipe|>ingredients:
tomatoes
water
onions
worcestershire sauce
green peppers
oil
directions:
roll steak strips in flour.
brown in skillet.
salt and pepper.
combine tomato liquid, water, onions and browned steak. cover and simmer for one and a quarter hours.
uncover and stir in worcestershire sauce.
add tomatoes, green peppers and simmer for 5 minutes.
serve over hot cooked rice.<|endofrecipe|>"
9;"<|startofrecipe|>ingredients:
pineapple
condensed milk
lemons
pecans
graham cracker crusts
directions:
empty cool whip into a bowl.
drain juice from pineapple.
mix cool whip and pineapple.
add condensed milk.
squeeze lemons, remove seeds and add to cool whip and pineapple.
chop nuts into small pieces and add to mixture.
stir all ingredients together and mix well.
pour into a graham cracker crust.
use top from crust to cover top of pie.
chill overnight.
makes 2 pies.<|endofrecipe|>"
10;"<|startofrecipe|>ingredients:
dark sweet pitted cherries
ginger ale
flavor gelatin
boiling water
almond extract
marshmallows
directions:
drain cherries, measuring syrup.
cut cherries in half.
add ginger ale and enough water to syrup to make 1 1/2 cups.
dissolve gelatin in boiling water.
add measured liquid and almond extract. chill until very thick.
fold in marshmallows and the cherries. spoon into 6-cup mold.
chill until firm, at least 4 hours or overnight.
unmold.
makes about 5 1/3 cups.<|endofrecipe|>"
